id,slug,title,parent_id,classified_type,has_h5p,has_audio,toggle_count,divi_modules_used,notes
4223,abdome-agudo-vascular-simulados,Abdome Agudo Vascular Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4427,aborto-simulados,Aborto Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
2203,abscesso-pulmonar,Abscesso Pulmonar,2199,text-lesson,0,0,2,"column,heading,row,section,toggle",
3942,acls-simulados,ACLS Simulados,3859,text-lesson,0,0,2,"column,heading,row,section,toggle",
4486,aleitamento-materno-simulados,Aleitamento Materno Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4489,alimentacao-complementar-do-lactente-simulados,Alimentação Complementar do Lactente Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4328,amenorreia-simulados,Amenorreia Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
3997,anemia-falciforme-simulados,Anemia Falciforme Simulados,3855,text-lesson,0,0,2,"column,heading,row,section,toggle",
4000,anemia-ferropriva-simulados,Anemia Ferropriva Simulados,3855,text-lesson,0,0,2,"column,heading,row,section,toggle",
4003,anemia-hemolitica-simulados,Anemia Hemolítica Simulados,3855,text-lesson,0,0,2,"column,heading,row,section,toggle",
4006,anemia-megaloblastica-simulados,Anemia Megaloblástica Simulados,3855,text-lesson,0,0,2,"column,heading,row,section,toggle",
4332,anticoncepcao-simulados,Anticoncepção Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4227,apendicite-simulados,Apendicite Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4029,arboviroses-simulados,Arboviroses Simulados,3862,text-lesson,0,0,2,"column,heading,row,section,toggle",
4178,artrite-infecciosa-simulados,Artrite Infecciosa Simulados,3879,text-lesson,0,0,2,"column,heading,row,section,toggle",
4181,artrite-reumatoide-simulados,Artrite Reumatoide Simulados,3879,text-lesson,0,0,2,"column,heading,row,section,toggle",
4134,asma-simulados,Asma Simulados,3872,text-lesson,0,0,2,"column,heading,row,section,toggle",
4433,assistencia-clinica-ao-parto-simulados,Assistência Clínica ao Parto Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4430,assistencia-pre-natal-simulados,Assistência Pré-Natal Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4137,atelectasia-simulados,Atelectasia Simulados,3872,text-lesson,0,0,2,"column,heading,row,section,toggle",
4390,atencao-ao-idoso-simulados,Atenção ao Idoso Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4395,atencao-basica-simulados,Atenção Básica Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
3690,audiocards,AudioCards,174,text-lesson,0,0,6,"column,heading,row,section,text,toggle",
4094,avc-hemorragico-simulados,AVC Hemorrágico Simulados,3869,text-lesson,0,0,2,"column,heading,row,section,toggle",
4097,avc-isquemico-simulados,AVC Isquêmico Simulados,3869,text-lesson,0,0,2,"column,heading,row,section,toggle",
4398,bioestatistica-simulados,Bioestatística Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
3884,bradiarritmias-simulados,Bradiarritmias Simulados,3842,text-lesson,0,0,2,"column,heading,row,section,toggle",
4492,bronquiolite-simulados,Bronquiolite Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4231,cancer-de-colorretal-simulados,Câncer de Colorretal Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4335,cancer-de-endometrio-simulados,Câncer de Endométrio Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4234,cancer-de-esofago-simulados,Câncer de Esôfago Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4237,cancer-de-estomago-simulados,Câncer de Estômago Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4338,cancer-de-mama-simulados,Câncer de Mama Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4341,cancer-de-ovario-simulados,Câncer de Ovário Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
3701,cardiologia-audiocards,Cardiologia Audiocards,3690,text-lesson,0,0,9,"column,heading,row,section,toggle",
3887,cardiopatia-congenita-simulados,Cardiopatia Congênita Simulados,3842,text-lesson,0,0,2,"column,heading,row,section,toggle",
4101,cefaleias-simulados,Cefaleias Simulados,3869,text-lesson,0,0,2,"column,heading,row,section,toggle",
4344,cervicite-e-vulvovaginite-simulados,Cervicite e Vulvovaginite Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
3945,choque-simulados,Choque Simulados,3859,text-lesson,0,0,2,"column,heading,row,section,toggle",
3978,cirrose-simulados,Cirrose Simulados,3852,text-lesson,0,0,2,"column,heading,row,section,toggle",
3741,cirurgia-geral-audiocards,Cirurgia Geral Audiocards,3690,text-lesson,0,0,23,"column,heading,row,section,toggle",
